scorer,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000
bodyparts,c1,c1,c1,m1,m1,m1,m2,m2,m2,m3,m3,m3,m4,m4,m4,m5,m5,m5,m6,m6,m6,m7,m7,m7,m8,m8,m8
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,350.5596941,183.6458979,1,407.4141665,191.7280071,1,386.5887985,156.5606682,1,346.7783461,132.7190542,1,316.0069885,146.03337,1,299.0175377,174.2722044,1,314.5624194,212.4005804,1,356.3148286,238.2494838,1,394.7024564,226.8304725,1
1,366.4027097,196.0146618,1,422.4464247,197.2006512,1,404.5237791,160.5423336,1,363.2530456,138.6214418,1,330.9102002,157.9636326,1,315.0420818,191.2617955,1,329.5294542,226.3586359,1,366.9806223,249.0068398,1,408.0903344,233.3509474,1
2,377.9172702,194.6802001,1,435.8370919,198.3435643,1,415.4601538,162.3524756,1,378.6879449,143.9817619,1,345.9554639,159.2061169,1,329.2476087,191.0909376,1,341.7486987,227.3233356,1,379.9995728,251.8662019,1,420.4932551,238.0659215,1
3,351.1333828,195.8204123,1,416.0707445,202.9722133,1,392.8214831,164.6424722,1,355.674757,146.91114,1,322.1453581,161.0072689,1,302.8540998,194.9132099,1,314.174614,229.401269,1,356.3848255,251.6877598,1,400.9058352,241.8779502,1
4,364.1757889,204.2135935,1,427.2509972,209.395278,1,405.7267959,171.5173135,1,368.5212002,151.2792332,1,335.4737313,164.3603926,1,316.1636524,200.6584001,1,322.0785995,234.4919395,1,367.2051883,258.7667804,0.99998498,413.0517576,250.0835772,1
5,365.3676405,196.6658688,1,426.2782583,197.9590031,1,405.4314688,162.9173403,1,367.8378778,142.6474676,1,335.2071049,157.3360701,1,318.938005,192.0187702,1,327.3738551,230.4078844,1,369.7316587,251.7558339,1,413.085306,237.2225353,1
6,340.6755964,155.4450761,0.999829173,395.4513618,183.0509768,0.151749551,369.7280502,137.1566906,0.001556039,337.263001,121.5404949,0.999092817,311.8238821,129.8965328,0.999951303,302.9481778,148.6836513,1,310.5362895,174.9544876,1,338.8816018,192.4450297,0.992418766,368.9496789,188.0265277,0.005843461
7,338.9848953,151.7421644,0.999999881,399.8491826,152.1812901,0.999996305,381.2072117,124.701432,0.999937892,337.1966689,103.1314626,0.999997675,305.228296,127.0808966,1,291.4000902,151.8719122,1,302.9786174,179.6093826,1,340.3277529,198.3394051,1,384.9338353,189.5392482,1
