scorer,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000
bodyparts,c1,c1,c1,m1,m1,m1,m2,m2,m2,m3,m3,m3,m4,m4,m4,m5,m5,m5,m6,m6,m6,m7,m7,m7,m8,m8,m8
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,366.7211215,159.2269027,1,413.4682648,159.7260652,1,396.0828396,131.4311223,1,367.2405305,119.7769845,1,338.4967984,131.8621392,1,322.7156138,158.0347664,1,335.89359,187.6835227,1,362.3547668,202.1882982,1,398.514771,189.2782935,1
1,369.9722795,160.8393974,1,416.6608572,161.3841171,1,402.0554018,134.576226,1,372.1762524,119.6749938,1,341.5508121,132.4933672,1,323.9367504,158.8762329,1,336.2092237,187.114562,1,366.7811146,204.9494333,1,403.6906285,190.9376471,1
2,365.2494482,147.6044827,1,412.0765762,146.9479637,1,397.4633582,121.5766859,1,364.9685009,107.9610071,1,333.864157,121.6193051,1,317.5084764,146.0199404,1,328.7802215,173.7115631,1,361.3850746,190.1707582,1,396.5232095,177.3051953,1
3,371.9962692,154.0774703,1,419.6478086,153.0009203,1,402.529635,127.2212629,1,371.484138,113.5732312,1,342.7512,124.8908701,1,327.5082164,152.2478948,1,338.8131137,182.5557051,1,370.5503216,197.2944999,1,406.6564329,183.3815811,1
4,365.8761339,151.1068032,1,413.6750007,152.106144,1,397.8702308,123.9334035,1,365.6361883,111.5089087,1,337.3483152,123.0072446,1,321.1742148,149.949731,1,332.9559948,180.8053331,1,364.4642441,195.1803722,1,398.4927747,182.2728484,1
5,366.1801453,154.7453175,1,413.0337037,154.502553,1,396.6656619,126.3908689,1,365.8726765,113.543982,1,335.4635735,127.0384622,1,319.8778379,153.3491411,1,334.3294611,184.9325967,1,363.8787198,198.2301376,1,398.4237332,184.4566946,1
6,364.8470024,156.4716692,1,415.6088474,157.1600683,1,395.6801144,127.2691908,1,364.8848276,114.0192285,1,336.2349348,128.1859269,1,319.5044014,154.349926,1,335.8378203,186.4578543,1,365.6067966,201.5330396,1,401.3600295,187.9410081,1
7,375.3089433,163.3594513,1,428.6554258,169.6828737,1,408.4118757,137.7863512,1,377.3174267,123.9179344,1,349.2891576,137.4253716,1,333.6349791,161.6375022,1,340.8274965,190.9857855,1,376.3448343,209.7470894,1,414.5923197,200.1659865,1
